@#,Name,Type1,Type2,Total,Z_HP,Z_Attack,Z_Defense,Z_Sp.Atk,Z_Sp.Def,Z_Speed,Generation,Legendary
1,Bulbasaur,1,Poison,318,-.950031894648155,-.924327935933748,-.796655268151571,-.238980798829683,-.248033378314903,-.801002083674006,1,0
2,Ivysaur,1,Poison,405,-.362595261692115,-.5238025189215,-.347699899162058,.219422267979167,.290974325375577,-.284837063585505,1,0
3,Venusaur,1,Poison,525,.42065358224927,.092390430328114,.293664913680103,.830626357057634,1.00965126362955,.403382963199164,1,0
4,VenusaurMega Venusaur,1,Poison,625,.42065358224927,.646964084652766,1.57639453936443,1.50295085504395,1.72832820188352,.403382963199164,1,0
5,Charmander,2,NULL,309,-1.18500654783057,-.831898993546306,-.98906471200422,-.391781821099299,-.787041082005382,-.112782056889338,1,0
6,Charmeleon,2,NULL,405,-.440920146086254,-.462183223996538,-.508041102372599,.219422267979167,-.248033378314903,.403382963199164,1,0
7,Charizard,2,Flying,534,.342328697855132,.154009725253075,.133323710469563,1.10566819714294,.47064355993907,1.09160298998383,1,0
8,CharizardMega Charizard X,2,Dragon,634,.342328697855132,1.57125350852719,1.19157565165913,1.74743249067533,.47064355993907,1.09160298998383,1,0
9,CharizardMega Charizard Y,2,Flying,634,.342328697855132,.770202674502689,.133323710469563,2.63367841983911,1.54865896732003,1.09160298998383,1,0
10,Squirtle,3,NULL,314,-.989194336845224,-.955137583396229,-.283563417877842,-.697383865638533,-.283967225227601,-.869824086352473,1,0
11,Wartortle,3,NULL,405,-.401757703889185,-.492992871459019,.197460191753779,-.238980798829683,.290974325375577,-.353659066263972,1,0
12,Blastoise,3,NULL,530,.381491140052201,.123200077790595,.838825004595941,.372223290248784,1.18932049819304,.334560960520697,1,0
13,BlastoiseMega Blastoise,3,NULL,630,.381491140052201,.739393027040208,1.4801898174381,1.90023351294495,1.54865896732003,.334560960520697,1,0
14,Caterpie,4,NULL,195,-.950031894648155,-1.50971123772088,-1.24561063714108,-1.61418999925623,-1.86505648938634,-.801002083674006,1,0
15,Metapod,4,NULL,205,-.754219683662808,-1.81780771234569,-.604245824298923,-1.46138897698662,-1.68538725482285,-1.31716710376251,1,0
16,Butterfree,4,Flying,395,-.362595261692115,-1.04756652578367,-.764587027509463,.5250243125184,.290974325375577,.0592729498068294,1,0
17,Weedle,4,Poison,195,-1.1458441056335,-1.35566300040848,-1.40595184035162,-1.61418999925623,-1.86505648938634,-.628947076977839,1,0
18,Kakuna,4,Poison,205,-.950031894648155,-1.66375947503328,-.764587027509463,-1.46138897698662,-1.68538725482285,-1.14511209706634,1,0
19,Beedrill,4,Poison,395,-.166783050706769,.338867610027959,-1.08526943393054,-.85018488790815,.290974325375577,.231327956502997,1,0
20,BeedrillMega Beedrill,4,Poison,495,-.166783050706769,2.1874464577768,-1.08526943393054,-1.76699102152585,.290974325375577,2.64009805024934,1,0
21,Pidgey,5,Flying,251,-1.1458441056335,-1.04756652578367,-1.08526943393054,-1.15578693244738,-1.32604878569586,-.422481068942438,1,0
22,Pidgeotto,5,Flying,349,-.245107935100908,-.585421813846461,-.604245824298923,-.697383865638533,-.787041082005382,.0936839511460629,1,0
23,Pidgeot,5,Flying,479,.538140908840478,.0307711354031526,.0371189885432387,-.0861797765600662,-.0683641437514093,1.12601399132307,1,0
24,PidgeotMega Pidgeot,5,Flying,579,.538140908840478,.0307711354031526,.197460191753779,1.90023351294495,.290974325375577,1.81423401810773,1,0
25,Rattata,5,NULL,253,-1.53746852760419,-.708660403696384,-1.24561063714108,-1.46138897698662,-1.32604878569586,.128094952485296,1,0
26,Raticate,5,NULL,413,-.558407472677462,.0615807828656333,-.443904621088382,-.697383865638533,-.0683641437514093,.988369985966132,1,0
27,Spearow,5,Flying,262,-1.1458441056335,-.585421813846461,-1.40595184035162,-1.27802775026308,-1.46978417334666,.0592729498068294,1,0
28,Fearow,5,Flying,442,-.166783050706769,.338867610027959,-.283563417877842,-.361221616645376,-.391768765965697,1.09160298998383,1,0
29,Ekans,6,NULL,288,-1.34165631661885,-.585421813846461,-.956996471362112,-1.00298591017777,-.643305694354588,-.456892070281672,1,0
30,Arbok,6,NULL,438,-.362595261692115,.184819372715556,-.15529045530941,-.238980798829683,.255040478462879,.403382963199164,1,0
31,Pikachu,7,NULL,320,-1.34165631661885,-.739470051158864,-1.08526943393054,-.697383865638533,-.787041082005382,.747492976591498,1,0
32,Raichu,7,NULL,485,-.362595261692115,.338867610027959,-.604245824298923,.5250243125184,.290974325375577,1.43571300337617,1,0
33,Sandshrew,8,NULL,300,-.754219683662808,-.123277101909251,.357801394964319,-1.61418999925623,-1.50571802025936,-.973057090370173,1,0
34,Sandslash,8,NULL,450,.224841371263924,.646964084652766,1.15950741101702,-.85018488790815,-.607371847441889,-.112782056889338,1,0
35,Nidoran?,6,NULL,275,-.558407472677462,-.98594723085871,-.700450546225247,-1.00298591017777,-1.14637955113237,-.93864608903094,1,0
36,Nidorina,6,NULL,365,.0290291602785774,-.5238025189215,-.219426936593626,-.544582843368916,-.607371847441889,-.422481068942438,1,0
37,Nidoqueen,6,Ground,505,.812278004219963,.400486904952921,.421937876248536,.0666212457095505,.47064355993907,.26573895784223,1,0
38,Nidoran??6,6,NULL,273,-.910869452451085,-.677850756233903,-1.08526943393054,-1.00298591017777,-1.14637955113237,-.628947076977839,1,0
39,Nidorino,6,NULL,365,-.323432819495046,-.215706044296693,-.540109343014707,-.544582843368916,-.607371847441889,-.112782056889338,1,0
40,Nidoking,6,Ground,505,.459816024446339,.708583379577728,.101255469827455,.372223290248784,.111305090812084,.575437969895331,1,0
41,Clefairy,9,NULL,323,.0290291602785774,-1.04756652578367,-.828723508793679,-.391781821099299,-.248033378314903,-1.14511209706634,1,0
42,Clefable,9,NULL,483,1.00809021520531,-.277325339221654,-.0270174927409775,.677825334788017,.650312794502564,-.284837063585505,1,0
43,Vulpix,2,NULL,299,-1.22416899002764,-1.17080511563359,-1.08526943393054,-.697383865638533,-.248033378314903,-.112782056889338,1,0
